ACTION START 1200 0 START
ACTION QUERY 1200 10 eggs healthy diet
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 43ba8dd9b64916781fc2732e65f0d1fe
ACTION DOC 1200 35 EXAMINING_DOCUMENT 43ba8dd9b64916781fc2732e65f0d1fe
ACTION MARK 1200 38 CONSIDERED_RELEVANT 43ba8dd9b64916781fc2732e65f0d1fe
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT a2744bb98e1968307548e4976232cf1c
ACTION DOC 1200 58 EXAMINING_DOCUMENT a2744bb98e1968307548e4976232cf1c
ACTION MARK 1200 61 CONSIDERED_RELEVANT a2744bb98e1968307548e4976232cf1c
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT d103b4d659726eacfb00ffe32425852a
ACTION DOC 1200 81 EXAMINING_DOCUMENT d103b4d659726eacfb00ffe32425852a
ACTION MARK 1200 84 CONSIDERED_RELEVANT d103b4d659726eacfb00ffe32425852a
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 76e0a0623e3112908514198e0dc07c74
ACTION DOC 1200 104 EXAMINING_DOCUMENT 76e0a0623e3112908514198e0dc07c74
ACTION MARK 1200 107 CONSIDERED_RELEVANT 76e0a0623e3112908514198e0dc07c74
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT dd3b6fba-9780-11e4-927a-4fa2638cd1b0
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT b1d594261f0a26bbad4a55e12d3c910c
ACTION DOC 1200 127 EXAMINING_DOCUMENT b1d594261f0a26bbad4a55e12d3c910c
ACTION MARK 1200 130 CONSIDERED_RELEVANT b1d594261f0a26bbad4a55e12d3c910c
ACTION QUERY 1200 140 benefits of eggs
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT a4a4aa78-8550-11e4-a702-fa31ff4ae98e
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 10c3a176-97e8-11e2-814b-063623d80a60
ACTION DOC 1200 165 EXAMINING_DOCUMENT 10c3a176-97e8-11e2-814b-063623d80a60
ACTION MARK 1200 168 CONSIDERED_RELEVANT 10c3a176-97e8-11e2-814b-063623d80a60
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 6c20f13c008c19cd518e6b8128f97d55
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 2c8663fa493a714f388fd24a8ffb40f0
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 157fa69934f7116c6af8415f10ed0460
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT ed4bc142-c760-11e4-aa1a-86135599fb0f
ACTION DOC 1200 188 EXAMINING_DOCUMENT ed4bc142-c760-11e4-aa1a-86135599fb0f
ACTION MARK 1200 191 CONSIDERED_RELEVANT ed4bc142-c760-11e4-aa1a-86135599fb0f
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT c544ff5c-7451-11e1-b191-2d5f686e7ff4
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT d72effbe-893b-11e3-916e-e01534b1e132
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 6aba123550b20aad1fdfdd875fd846aa
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 036c654e-a313-11e3-8466-d34c451760b9
ACTION DOC 1200 211 EXAMINING_DOCUMENT 036c654e-a313-11e3-8466-d34c451760b9
ACTION MARK 1200 214 CONSIDERED_RELEVANT 036c654e-a313-11e3-8466-d34c451760b9
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 7fdaa018-810b-11e6-b002-307601806392
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 885b3e35e9afa9ed9bd41878bdec1257
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 6395df428a270529aaaaafb05282b59c
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 9b43b4351fb99fdfc2310c8254fa7f77
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 3b7b1708-7900-11e1-9c70-78e01e7448f8
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT c4c20c30-a0a7-11e3-9ba6-800d1192d08b
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 55d86022a9ee99745842fcdfe1af3803
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 6b28752c-6b5b-11e4-9fb4-a622dae742a2
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 8755b22e-1c7a-11e6-b6e0-c53b7ef63b45
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 68fb8f1287cb5fdcf30c73db7f5eb88b
ACTION SNIPPET 1200 214 SNIPPET_RELEVANT e4b1f922-b64f-11e6-b8df-600bd9d38a02
