ACTION START 1200 0 START
ACTION QUERY 1200 10 college advantage education
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 56d1c156-8dd6-11e6-875e-2c1bfe943b66
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT fe05b9a53c74453de8e00f372de54249
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 302c507032770d6dab7b807f810fff74
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT f5e37cd4-37b7-11e4-8601-97ba88884ffd
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT f8c906c62a7daec07c96fb44fd15eb0e
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT c78de5b2bfe687af7a27eab9de9733da
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 9c267f59997d57c15256edf89e436508
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT af0e1554b7a6a4a34fb8e127720aee5a
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT c8aa0d344ca3aad373667826dbccd05c
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 45c3d842-a668-11e4-a7c2-03d37af98440
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT b5494896-4860-11e1-9a35-ee3df431dcec
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 0ec5a4e6-ce6e-11e4-a2a7-9517a3a70506
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 6808d4d1f2e5b1e0a16eade909f6b467
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 61f6519dab876b6f314cb70f81848c49
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 3f6cb5ba-76b2-11e6-b786-19d0cb1ed06c
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT fe4e72585786530d94dd05f6a90a3fac
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 29de220e57503014f52e6faf887d3504
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT a2600e70d6c58bcf8b08e8bc8bf4a0f1
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 679ad883851721d8133bf153c4447dc5
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 5a628d60-a7a5-11e3-b61e-8051b8b52d06
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT de1fd0c46e868f1caa1487d4e43d72bb
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 3057c72e12d58b64714058b91b1dc0a3
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 5e96541a7e044ada258a7c062459d546
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 13458832-7152-11e6-9705-23e51a2f424d
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT d2c1a1f0cf05ca9c3a6ea2da76960914
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 572b50a8-9112-11e4-a900-9960214d4cd7
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT cccdbd4c-412d-11e1-ad78-52434cb020f0
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT ead4f501519b4e477547ed4de84badb5
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 8eae159f86f4224a29d8dc10ace770a7
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 3998e3020d3375497f611e497c7d63fe
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 6156e71e-cf7c-11e5-88cd-753e80cd29ad
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 918a4366-6b36-11e7-9c15-177740635e83
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT bb0608c6-f6e3-11e3-8aa9-dad2ec039789
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT ee1ee92a-78a9-11e3-af7f-13bf0e9965f6
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 7d8b6130-640a-11e1-a2f2-468e819f2777
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT b6f697ce-d617-11e3-aae8-c2d44bd79778
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT cc32be38-e518-11e2-a11e-c2ea876a8f30
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 4496dd2a-0f1a-11e3-bdf6-e4fc677d94a1
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 463ebfa6ae0d262044f1f455a4eb1942
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 4bafd887e8eac0e89a5303aecfd4b165
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 9732f856-3ff4-11e3-a624-41d661b0bb78
